program_id,level_encoded,goal_encoded,equipment_encoded,program_length_weeks,time_per_workout_minutes,has_cardio,has_strength,has_yoga,has_hiit
0,0,9,5,0.3529412,0.23529412,0,1,1,0
1,1,7,4,0.64705884,0.47058824,0,1,0,0
2,0,2,4,0.4117647,0.29411766,1,1,0,0
3,0,2,4,0.3529412,0.47058824,0,1,0,0
4,1,2,4,1.0,0.3529412,0,1,0,0
5,1,2,4,0.5882353,0.88235295,0,1,0,0
6,1,10,4,0.64705884,0.29411766,1,1,0,0
7,1,2,4,0.11764706,0.11764706,0,1,0,0
8,0,1,4,0.64705884,0.29411766,1,1,0,0
9,0,2,4,0.29411766,0.47058824,0,1,0,0
10,0,2,3,0.64705884,0.23529412,0,1,0,0
11,0,2,4,0.47058824,0.3529412,0,1,0,0
12,1,2,4,1.0,0.0,0,1,0,0
13,1,1,5,0.29411766,0.29411766,0,1,0,0
14,0,2,4,0.64705884,0.1764706,0,1,0,0
15,0,8,4,0.23529412,0.64705884,1,1,0,0
16,1,1,4,0.64705884,0.29411766,0,1,0,0
17,1,2,0,0.29411766,0.29411766,0,1,0,0
18,0,8,0,0.64705884,0.29411766,1,1,0,0
19,0,1,4,1.0,0.23529412,0,1,0,0
20,1,2,5,0.3529412,0.3529412,0,1,0,0
21,1,11,4,0.88235295,0.1764706,0,1,0,0
22,0,2,4,0.64705884,0.4117647,0,1,0,0
23,1,1,3,0.4117647,0.11764706,1,1,0,0
24,0,8,4,0.5882353,0.29411766,1,1,0,0
25,0,8,5,0.4117647,0.29411766,0,1,0,0
26,0,2,4,0.88235295,0.47058824,0,1,0,0
27,0,2,4,0.1764706,0.3529412,0,1,0,0
28,1,2,0,0.4117647,0.1764706,0,1,0,0
29,0,2,4,0.4117647,0.29411766,1,1,0,0
30,0,8,4,0.64705884,0.1764706,0,1,0,0
31,0,8,4,0.4117647,0.3529412,1,1,0,0
32,2,2,4,0.1764706,0.11764706,0,1,0,0
33,2,2,5,1.0,0.29411766,0,1,0,0
34,0,2,4,0.64705884,0.1764706,0,1,0,0
35,0,11,4,0.64705884,0.1764706,1,1,0,0
36,0,1,4,0.5294118,0.47058824,0,1,0,0
37,0,8,5,0.11764706,0.29411766,0,1,0,0
38,0,10,4,0.1764706,0.47058824,0,1,0,0
39,0,2,4,0.23529412,0.29411766,0,1,0,0
40,0,10,0,0.1764706,0.0,1,1,0,0
41,0,3,5,0.0,0.29411766,1,1,0,0
42,1,1,4,0.4117647,0.29411766,1,1,0,1
43,0,1,4,0.1764706,0.05882353,0,1,0,0
44,0,1,0,0.4117647,0.1764706,0,1,0,0
45,1,8,0,0.4117647,0.23529412,1,1,0,0
46,0,1,4,0.64705884,0.47058824,0,1,0,0
47,0,11,4,0.4117647,0.29411766,0,1,0,0
48,0,10,4,0.29411766,0.5294118,0,1,0,0
49,1,2,4,0.64705884,0.29411766,0,1,0,0
50,1,10,4,0.4117647,0.29411766,0,1,0,0
51,0,10,4,0.1764706,0.4117647,0,1,0,0
52,0,2,4,0.88235295,0.29411766,0,1,0,0
53,0,10,4,0.64705884,0.29411766,0,1,0,0
54,0,2,4,0.64705884,0.64705884,0,1,0,0
55,0,2,5,0.88235295,0.3529412,1,1,0,0
56,2,10,4,0.64705884,0.64705884,0,1,0,0
57,0,2,4,0.64705884,0.29411766,0,1,0,0
58,0,2,4,0.64705884,0.47058824,0,1,0,0
59,1,10,3,0.64705884,0.3529412,0,1,0,0
60,1,2,4,0.5294118,0.23529412,0,1,0,0
61,1,10,4,0.29411766,0.47058824,0,1,0,0
62,0,8,3,0.5294118,0.23529412,1,1,0,0
63,0,8,4,0.1764706,0.3529412,0,1,0,0
64,1,10,4,0.64705884,0.4117647,0,1,0,0
65,0,2,4,1.0,0.64705884,0,1,0,0
66,0,2,4,0.64705884,0.23529412,1,1,0,0
67,0,1,4,0.29411766,0.11764706,0,1,0,0
68,0,1,4,0.64705884,0.64705884,0,1,0,0
69,0,11,4,0.29411766,0.64705884,0,1,0,0
70,0,11,5,0.1764706,0.05882353,1,1,0,0
71,1,2,5,0.1764706,0.29411766,0,1,0,0
72,1,2,4,0.0,0.4117647,0,1,0,0
73,1,2,4,0.64705884,0.47058824,0,1,0,0
74,0,2,4,0.4117647,0.29411766,0,1,0,0
75,0,2,4,0.64705884,0.3529412,0,1,0,0
76,1,2,4,0.23529412,0.3529412,0,1,0,0
77,1,1,4,0.29411766,0.1764706,1,1,0,0
78,0,2,5,0.1764706,0.1764706,0,1,0,0
79,0,2,4,0.1764706,0.5294118,0,1,0,0
80,0,10,4,0.64705884,0.47058824,0,1,0,0
81,0,2,4,0.47058824,0.3529412,0,1,0,0
82,0,11,4,0.64705884,0.47058824,0,1,0,0
83,1,10,4,0.4117647,0.05882353,0,1,0,0
84,0,1,4,0.1764706,0.3529412,0,1,0,0
85,0,8,5,0.29411766,0.47058824,0,1,0,0
86,0,2,4,0.29411766,0.1764706,0,1,0,0
87,0,8,4,0.05882353,0.47058824,0,1,0,0
88,0,8,4,0.64705884,0.47058824,1,1,0,0
89,0,8,4,0.29411766,0.29411766,0,1,0,0
90,0,2,4,0.23529412,0.3529412,0,1,0,0
91,0,8,3,0.0,0.29411766,1,1,0,0
92,0,8,4,0.7058824,0.29411766,0,1,0,0
93,0,1,4,0.4117647,0.29411766,0,1,0,0
94,0,1,0,1.0,0.47058824,1,1,0,0
95,0,3,0,0.5294118,0.11764706,1,1,0,0
96,0,1,3,0.4117647,0.05882353,1,1,0,0
97,0,1,4,0.64705884,0.64705884,0,1,0,0
98,1,11,4,0.4117647,0.3529412,1,1,0,0
99,0,1,4,0.5294118,0.4117647,1,1,0,0
100,1,2,4,0.64705884,0.23529412,0,1,0,0
101,0,2,4,0.1764706,0.3529412,0,1,0,0
102,0,1,5,0.29411766,0.29411766,0,1,0,0
103,0,1,4,0.4117647,0.47058824,1,1,0,0
104,0,11,4,0.1764706,0.29411766,0,1,0,0
105,0,2,4,0.64705884,0.23529412,0,1,0,0
106,0,2,3,0.23529412,0.1764706,0,1,0,0
107,0,2,4,0.23529412,0.5294118,0,1,0,0
108,0,2,4,0.64705884,0.5294118,0,1,0,0
109,0,2,4,0.8235294,0.3529412,0,1,0,0
110,0,11,3,0.64705884,0.29411766,0,1,0,0
111,0,2,5,0.29411766,0.29411766,0,1,0,0
112,0,2,4,0.0,0.11764706,0,1,0,0
113,0,2,4,0.88235295,0.3529412,0,1,0,0
114,0,2,4,0.64705884,0.64705884,0,1,0,0
115,1,2,4,0.11764706,0.47058824,0,1,0,0
116,1,2,5,0.88235295,0.1764706,0,1,0,0
117,1,8,4,0.1764706,0.64705884,0,1,0,0
118,1,8,4,0.4117647,0.47058824,0,1,0,0
119,0,10,5,0.64705884,0.1764706,0,1,0,0
120,0,2,4,0.4117647,0.23529412,1,1,0,0
121,0,2,4,0.0,0.3529412,0,1,0,0
122,0,2,4,0.64705884,0.47058824,0,1,0,0
123,0,2,4,0.4117647,0.3529412,0,1,0,0
124,1,2,4,0.64705884,0.5294118,0,1,0,0
125,0,2,4,0.4117647,0.3529412,0,1,0,0
126,0,2,4,0.64705884,0.29411766,1,1,0,0
127,1,10,4,0.11764706,0.29411766,1,1,0,0
128,1,10,5,0.4117647,0.29411766,0,1,0,0
129,1,11,5,0.1764706,0.23529412,0,1,0,0
130,1,10,5,0.29411766,0.5294118,0,1,0,0
