clip_id,exercise,fine_class,n_feedbacks,first_feedback,derived_q,derived_groups,quality_source,split
00058369,dead bugs (legs only),dead bugs (legs only) - moving arms,0,,0.7,,silence_default,train
00013112,high knees,high knees - speed=3.75 rps,10,Great job you're crushing it!,0.96,"L_knee,R_knee",feedback_only,train
00144194,uppercut left + hook right (right leg front),uppercut left + hook right (right leg front) - as fast as possible,0,,0.85,,label_only,train
00128393,shoulder gators,shoulder gators - upper body moving,4,Really try to bring those elbows back behind your ears,1.0,"L_elbow,R_elbow,L_shoulder,R_shoulder,Trunk,Neck",feedback_only,train
00117026,uppercut left (right leg front),uppercut left (right leg front) - front arm low,0,,0.7,,silence_default,train
00073158,alternating v ups,alternating v ups - as fast as possible,0,,0.85,,label_only,train
00053736,uppercut left (right leg front),uppercut left (right leg front) - punching down,0,,0.45,,label_only,train
00285930,buttkickers,buttkickers - feet disappear behind knees,5,Yes! When the heels are super close and hitting the butt we're getting the burn!,0.88,"L_knee,R_knee",feedback_only,test
00045580,glute hamstring walkout,glute hamstring walkout - stepping in-place,0,,0.7,,silence_default,train
00221208,puddle jump,puddle jump - speed=0.75 rps,0,,0.7,Trunk,silence_default,train
00016663,bunny hops,bunny hops - narrow jumps,0,,0.55,,label_only,train
00015622,alternating single leg glutes bridge,alternating single leg glutes bridge - knees in,0,,0.7,"L_knee,R_knee",silence_default,train
00049123,high plank,high plank - average,0,,0.78,,label_only,train
00114629,hook left (right leg front),hook left (right leg front) - front arm low,0,,0.7,,silence_default,train
00121981,alternating forward lunges,alternating forward lunges - normal width,20,Make sure to dip that back knee close to the ground and deep lunge in the front.,0.885,"L_knee,R_knee,L_hip,R_hip,Trunk",feedback+label,train
00264951,quad stretch (left),quad stretch (left) - getting into position,7,"Whoops, careful! You are stretching the right quad!",0.929,,feedback_only,train
00013912,the hundred (table-top position),the hundred (table-top position) - arms still,0,,0.55,Neck,label_only,train
00294255,floor touches,floor touches - feet not under knees,3,Keep up the hustle and great form,0.667,"L_knee,R_knee",feedback_only,test
00104248,opposite arm and leg lifts (on knees),"opposite arm and leg lifts (on knees) - back not straight, arching up",0,,0.7,"L_knee,R_knee,Trunk",silence_default,train
