user_id,experience_level,workout_type_encoded,session_duration_hours,workout_frequency,bmi,age,gender_encoded
0,3,2,0.79333335,0.6666667,0.4763923,0.9268293,0
1,2,3,0.53333336,0.6666667,0.52433616,0.68292683,1
2,2,0,0.40666667,0.6666667,0.33023483,0.34146342,1
3,1,1,0.06,0.33333334,0.16219667,0.17073171,0
4,1,1,0.093333334,0.33333334,0.055044424,0.4878049,0
5,3,3,0.7266667,1.0,0.21927314,0.9268293,1
6,2,0,0.66,0.33333334,0.30490342,0.4390244,0
7,2,0,0.5133333,0.33333334,0.48629358,0.5365854,1
8,2,1,0.35333332,0.6666667,0.5333929,0.24390244,0
9,1,0,0.38666666,0.33333334,0.47295958,0.24390244,0
10,1,3,0.21333334,0.0,0.82598704,0.5609756,0
11,2,3,0.43333334,0.33333334,0.14836368,0.85365856,0
12,2,0,0.49333334,0.33333334,0.8282934,0.9512195,0
13,1,3,0.45333335,0.33333334,0.30122966,0.5609756,0
14,2,2,0.56666666,0.33333334,0.62909335,0.048780486,0
15,1,1,0.42,0.0,0.041445084,0.5121951,1
16,2,3,0.55333334,0.33333334,0.4002378,0.024390243,1
17,1,0,0.46,0.33333334,0.04419302,0.5609756,1
18,2,1,0.42,0.33333334,0.25291693,0.70731705,1
19,1,3,0.58,0.0,0.39022014,0.902439,1
20,2,1,0.6666667,0.6666667,0.4287089,0.024390243,0
21,1,0,0.41333333,0.0,0.2832394,0.4878049,0
22,1,2,0.44666666,0.0,0.34203038,0.7804878,1
23,1,2,0.18666667,0.0,0.68855816,0.2682927,0
24,2,3,0.5,0.6666667,0.27159894,0.5121951,1
25,2,2,0.61333334,0.33333334,0.25217697,0.58536583,1
26,1,3,0.15333334,0.0,0.20790812,0.63414633,0
27,2,1,0.6533333,0.6666667,0.1406541,1.0,0
28,3,3,0.76,1.0,0.32562673,0.6585366,0
29,2,3,0.52666664,0.33333334,0.40813044,0.36585367,1
30,1,3,0.5133333,0.33333334,0.5616169,0.34146342,0
31,2,2,0.35333332,0.6666667,0.4260065,0.048780486,1
32,1,3,0.6533333,0.0,0.18773504,0.8780488,1
33,1,0,0.36,0.0,0.36005494,0.14634146,1
34,3,3,0.68,1.0,0.41350263,0.4878049,0
35,1,1,0.5466667,0.33333334,0.8078551,0.19512194,0
36,2,0,0.50666666,0.6666667,0.32101023,0.9268293,1
37,2,1,0.56,0.33333334,0.5547765,0.41463414,0
38,2,1,0.53333336,0.6666667,0.18084691,0.07317073,0
39,2,1,0.54,0.33333334,0.14527647,0.58536583,0
40,1,0,0.6533333,0.0,0.24199846,0.31707317,1
41,1,0,0.38666666,0.33333334,0.13278356,0.19512194,1
42,2,2,0.6333333,0.6666667,0.57246625,0.6097561,0
